Ngay,Gia_Mua,Gia_Ban,Ty_Gia_USD,Gia_The_Gioi_USD,Nam,Thang,Chenh_Lech
2020-01-01,487420,547520,23157.45,18.41,2020,1,60100
2020-01-02,575430,637330,23147.86,21.44,2020,1,61900
2020-01-03,506920,568570,23159.58,19.12,2020,1,61650
2020-01-04,529220,587870,23172.64,19.76,2020,1,58650
2020-01-05,571110,630590,23146.21,21.22,2020,1,59480
2020-01-06,518000,577700,23146.15,19.44,2020,1,59700
2020-01-07,479590,539030,23173.28,18.11,2020,1,59440
2020-01-08,514960,576150,23161.03,19.37,2020,1,61190
2020-01-09,599190,659290,23142.41,22.19,2020,1,60100
2020-01-10,559430,619720,23157.52,20.84,2020,1,60290
2020-01-11,569120,630530,23142.36,21.22,2020,1,61410
2020-01-12,561940,623160,23142.26,20.97,2020,1,61220
2020-01-13,494970,553500,23152.81,18.62,2020,1,58530
2020-01-14,525230,586090,23120.41,19.74,2020,1,60860
2020-01-15,576050,635790,23123.17,21.41,2020,1,59740
2020-01-16,482150,541330,23140.54,18.22,2020,1,59180
2020-01-17,510290,568490,23133.71,19.14,2020,1,58200
2020-01-18,510430,570380,23153.55,19.18,2020,1,59950
2020-01-19,533020,592440,23135.15,19.94,2020,1,59420
2020-01-20,611250,670260,23127.51,22.57,2020,1,59010
2020-01-21,473630,534410,23170.61,17.96,2020,1,60780
2020-01-22,546410,607490,23145.17,20.44,2020,1,61080
2020-01-23,492030,551010,23149.51,18.54,2020,1,58980
2020-01-24,613240,671440,23127.05,22.61,2020,1,58200
2020-01-25,490310,551710,23140.19,18.57,2020,1,61400
2020-01-26,526810,584850,23149.95,19.67,2020,1,58040
2020-01-27,568950,630700,23130.95,21.23,2020,1,61750
2020-01-28,561790,622300,23153.79,20.93,2020,1,60510
2020-01-29,533880,593170,23139.07,19.96,2020,1,59290
2020-01-30,518120,577110,23143.64,19.42,2020,1,58990
2020-01-31,527870,585910,23138.92,19.72,2020,1,58040
2020-02-01,513540,572480,23175.66,19.24,2020,2,58940
2020-02-02,500100,558650,23147.61,18.8,2020,2,58550
2020-02-03,535070,595520,23131.87,20.05,2020,2,60450
2020-02-04,508000,566670,23160.01,19.05,2020,2,58670
2020-02-05,515810,575920,23129.29,19.39,2020,2,60110
2020-02-06,558950,619310,23150.67,20.83,2020,2,60360
2020-02-07,609350,668540,23118.07,22.52,2020,2,59190
2020-02-08,560410,618550,23127.47,20.83,2020,2,58140
2020-02-09,478000,536150,23150.28,18.04,2020,2,58150
2020-02-10,480680,538790,23158.34,18.12,2020,2,58110
2020-02-11,599730,660690,23149.76,22.23,2020,2,60960
2020-02-12,515570,574840,23145.39,19.34,2020,2,59270
2020-02-13,484420,545610,23142.54,18.36,2020,2,61190
2020-02-14,553640,613370,23124.81,20.66,2020,2,59730
2020-02-15,551690,611500,23136.12,20.58,2020,2,59810
2020-02-16,560210,620260,23139.94,20.87,2020,2,60050
2020-02-17,512450,573300,23162.64,19.28,2020,2,60850
2020-02-18,473420,532510,23151.87,17.91,2020,2,59090
2020-02-19,612260,670750,23120.2,22.59,2020,2,58490
2020-02-20,502910,563130,23151.44,18.94,2020,2,60220
2020-02-21,566990,626300,23140.73,21.08,2020,2,59310
2020-02-22,570300,630070,23136.28,21.21,2020,2,59770
2020-02-23,551050,611640,23155.55,20.57,2020,2,60590
2020-02-24,515010,574990,23161.77,19.33,2020,2,59980
2020-02-25,511620,572100,23160.2,19.24,2020,2,60480
2020-02-26,552240,612420,23133.58,20.62,2020,2,60180
2020-02-27,585900,646860,23141.46,21.77,2020,2,60960
2020-02-28,603810,664630,23151.0,22.36,2020,2,60820
2020-02-29,492130,552270,23160.59,18.57,2020,2,60140
2020-03-01,491010,551730,23138.7,18.57,2020,3,60720
2020-03-02,597410,658900,23143.04,22.17,2020,3,61490
2020-03-03,572370,632100,23129.16,21.28,2020,3,59730
2020-03-04,592520,652170,23127.74,21.96,2020,3,59650
2020-03-05,494900,555960,23157.8,18.7,2020,3,61060
2020-03-06,554340,614670,23165.89,20.66,2020,3,60330
2020-03-07,566620,624900,23144.4,21.03,2020,3,58280
2020-03-08,561900,623470,23160.46,20.96,2020,3,61570
2020-03-09,527480,585600,23150.77,19.7,2020,3,58120
2020-03-10,475570,536560,23135.6,18.06,2020,3,60990
2020-03-11,548480,609520,23150.63,20.5,2020,3,61040
2020-03-12,501110,562920,23168.21,18.92,2020,3,61810
2020-03-13,535720,593940,23144.53,19.99,2020,3,58220
2020-03-14,601520,661910,23168.47,22.25,2020,3,60390
2020-03-15,524600,584310,23105.64,19.69,2020,3,59710
2020-03-16,590380,649700,23157.19,21.85,2020,3,59320
2020-03-17,500130,558490,23146.1,18.79,2020,3,58360
2020-03-18,560810,621060,23140.24,20.9,2020,3,60250
2020-03-19,604930,664850,23146.03,22.37,2020,3,59920
2020-03-20,489330,547750,23114.78,18.45,2020,3,58420
2020-03-21,468810,529260,23141.23,17.81,2020,3,60450
2020-03-22,528730,589680,23149.81,19.84,2020,3,60950
2020-03-23,483870,544940,23166.55,18.32,2020,3,61070
2020-03-24,571860,633480,23136.54,21.32,2020,3,61620
2020-03-25,597920,657560,23132.12,22.14,2020,3,59640
2020-03-26,525380,587190,23136.65,19.76,2020,3,61810
2020-03-27,499490,560950,23157.84,18.86,2020,3,61460
2020-03-28,524770,583960,23148.97,19.65,2020,3,59190
2020-03-29,579180,637820,23136.03,21.47,2020,3,58640
2020-03-30,472960,532700,23151.6,17.92,2020,3,59740
2020-03-31,553080,612690,23145.29,20.62,2020,3,59610
2020-04-01,2373330,2473940,23158.3,83.19,2020,4,100610
2020-04-02,2378920,2479590,23133.17,83.47,2020,4,100670
2020-04-03,2294340,2396340,23138.72,80.65,2020,4,102000
2020-04-04,2388490,2488570,23137.68,83.76,2020,4,100080
2020-04-05,2269870,2366710,23121.54,79.71,2020,4,96840
2020-04-06,2290600,2393470,23147.87,80.52,2020,4,102870
2020-04-07,2424300,2522780,23147.27,84.88,2020,4,98480
2020-04-08,2395910,2499680,23143.36,84.11,2020,4,103770
2020-04-09,2254420,2351360,23139.7,79.14,2020,4,96940
